,1972,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,,Source
20,2.0,1.0,1.0,2.0,3.0,3.0,,1.0,3.0,,2.0,3.0,,2.0,2.0,2.0,,3.0,3.0,2.0,2.0,3.0,,2.0,1.0,,1.0,,0.0,3.0,,3.0,,
21,2.0,3.0,0.0,2.0,2.0,3.0,,3.0,3.0,,1.0,3.0,,1.0,,3.0,2.0,,2.0,1.0,2.0,3.0,3.0,1.0,,2.0,1.0,3.0,3.0,,3.0,2.0,,
22,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,1.0,2.0,2.0,2.0,,2.0,3.0,2.0,3.0,,,1.0,0.0,1.0,,2.0,,,,
23,2.0,0.0,3.0,3.0,1.0,3.0,,1.0,2.0,,1.0,2.0,,3.0,,,,3.0,,1.0,,1.0,2.0,2.0,,1.0,2.0,,,3.0,3.0,3.0,,
24,3.0,3.0,0.0,2.0,2.0,3.0,,3.0,1.0,,2.0,1.0,,0.0,2.0,,3.0,3.0,,,,3.0,2.0,,3.0,2.0,3.0,,,2.0,1.0,2.0,,
25,3.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,,2.0,2.0,,1.0,2.0,0.0,,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,,3.0,,
26,3.0,0.0,3.0,3.0,2.0,2.0,,1.0,3.0,,0.0,3.0,,2.0,,1.0,3.0,,,,,2.0,0.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,,
27,2.0,2.0,1.0,2.0,1.0,0.0,,2.0,2.0,,2.0,2.0,,1.0,3.0,,3.0,2.0,3.0,,2.0,3.0,1.0,,2.0,2.0,,,3.0,,,3.0,,
28,3.0,2.0,3.0,3.0,2.0,3.0,,2.0,2.0,,2.0,2.0,,3.0,2.0,3.0,3.0,,3.0,2.0,3.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,,2.0,,,,
29,1.0,2.0,2.0,3.0,1.0,3.0,,3.0,3.0,,2.0,3.0,,1.0,,2.0,1.0,3.0,,2.0,2.0,3.0,3.0,,,1.0,3.0,,2.0,3.0,2.0,3.0,,
30,2.0,2.0,2.0,2.0,3.0,2.0,,2.0,3.0,,1.0,3.0,,3.0,3.0,,1.0,,3.0,,3.0,3.0,,3.0,,1.0,,2.0,2.0,2.0,,,,
31,3.0,2.0,0.0,3.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,3.0,2.0,2.0,2.0,,2.0,,0.0,2.0,2.0,2.0,,0.0,2.0,2.0,,2.0,2.0,1.0,,
32,3.0,1.0,3.0,3.0,2.0,2.0,,3.0,3.0,,3.0,1.0,,3.0,3.0,2.0,2.0,,3.0,2.0,3.0,2.0,3.0,,,0.0,1.0,,,2.0,2.0,,,
33,3.0,1.0,1.0,3.0,2.0,2.0,,1.0,2.0,,2.0,2.0,,0.0,2.0,,3.0,,,,3.0,0.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,,
34,2.0,2.0,2.0,3.0,3.0,2.0,,3.0,3.0,,2.0,2.0,,3.0,2.0,1.0,2.0,2.0,,2.0,3.0,3.0,2.0,3.0,,,3.0,3.0,,,1.0,,,
35,3.0,2.0,3.0,1.0,2.0,3.0,,2.0,3.0,,1.0,1.0,,2.0,2.0,3.0,3.0,,,2.0,1.0,2.0,2.0,3.0,,2.0,,,2.0,2.0,,3.0,,
36,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,,3.0,1.0,,3.0,,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,,2.0,2.0,3.0,3.0,1.0,2.0,,1.0,,
37,2.0,2.0,2.0,0.0,2.0,3.0,,3.0,3.0,,2.0,1.0,,3.0,2.0,,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,,,2.0,2.0,,
38,1.0,3.0,2.0,3.0,2.0,3.0,,1.0,2.0,,3.0,2.0,,3.0,2.0,2.0,2.0,,2.0,2.0,,1.0,2.0,2.0,2.0,2.0,1.0,,2.0,1.0,3.0,,,
39,2.0,3.0,3.0,2.0,1.0,1.0,,1.0,3.0,,3.0,3.0,,3.0,2.0,,1.0,2.0,2.0,,2.0,3.0,3.0,2.0,,,2.0,3.0,,2.0,,2.0,,
40,3.0,2.0,3.0,3.0,3.0,0.0,,2.0,2.0,,3.0,1.0,,1.0,,,2.0,2.0,3.0,,2.0,2.0,1.0,2.0,,,2.0,3.0,3.0,2.0,2.0,,,
41,1.0,3.0,3.0,2.0,1.0,,,2.0,2.0,,2.0,3.0,,3.0,,,3.0,,3.0,,1.0,,3.0,3.0,3.0,1.0,2.0,,,2.0,2.0,2.0,,
42,2.0,0.0,1.0,2.0,2.0,3.0,,0.0,3.0,,2.0,1.0,,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,,2.0,,2.0,1.0,,0.0,,,,
43,2.0,2.0,3.0,2.0,3.0,1.0,,3.0,2.0,,2.0,1.0,,2.0,2.0,2.0,,,3.0,2.0,1.0,3.0,0.0,3.0,3.0,,3.0,,3.0,,2.0,3.0,,
44,2.0,3.0,3.0,1.0,2.0,0.0,,3.0,2.0,,2.0,1.0,,3.0,2.0,3.0,3.0,2.0,2.0,2.0,,2.0,,2.0,,3.0,,,2.0,3.0,,3.0,,
45,3.0,2.0,2.0,3.0,3.0,1.0,,2.0,2.0,,2.0,3.0,,2.0,,3.0,2.0,2.0,,3.0,2.0,3.0,1.0,2.0,,3.0,2.0,,,2.0,1.0,,,
