,Miss work for health past 30 days,Days of poor physical health past 30 days,Days of poor mental health past 30 days,When did your last paid job end,Number of hours worked last week,Gss year for this respondent
286,,,,1996.0,,1998.0
287,,,,1996.0,,1998.0
288,,,,,24.0,1998.0
289,,,,,42.0,1998.0
290,,,,,16.0,1998.0
291,,,,,48.0,1998.0
292,,,,,40.0,1998.0
293,,,,,40.0,1998.0
294,,,,,60.0,1998.0
295,,,,,45.0,1998.0
296,,,,,,1998.0
297,,,,,,1998.0
298,,,,,20.0,1998.0
299,,,,,44.0,1998.0
300,,,,,,1998.0
301,,,,,,1998.0
302,,,,1997.0,,1998.0
303,,,,1985.0,,1998.0
304,,,,,,1998.0
305,,,,,45.0,1998.0
306,,,,,45.0,1998.0
307,,,,,,1998.0
308,,,,,12.0,1998.0
309,,,,,3.0,1998.0
310,,,,,40.0,1998.0
311,,,,,16.0,1998.0
312,,,,,40.0,1998.0
313,,,,,20.0,1998.0
314,,,,,24.0,1998.0
315,,,,,45.0,1998.0
316,,,,,45.0,1998.0
317,,,,,48.0,1998.0
318,,,,,40.0,1998.0
319,,,,,53.0,1998.0
320,,,,,40.0,1998.0
321,,,,,50.0,1998.0
322,,,,,45.0,1998.0
323,,,,,45.0,1998.0
324,,,,,50.0,1998.0
325,,,,,,1998.0
326,,,,,,1998.0
327,,,,,30.0,1998.0
328,,,,,37.0,1998.0
329,,,,,50.0,1998.0
330,,,,,40.0,1998.0
331,,,,,,1998.0
332,,,,,40.0,1998.0
333,,,,,,1998.0
334,,,,,40.0,1998.0
335,,,,,60.0,1998.0
336,,,,,40.0,1998.0
337,,,,,35.0,1998.0
338,,,,,52.0,1998.0
339,,,,,40.0,1998.0
340,,,,,60.0,1998.0
341,,,,,40.0,1998.0
342,,,,,40.0,1998.0
343,,,,,58.0,1998.0
344,,,,,70.0,1998.0
345,,,,,40.0,1998.0
346,,,,,,1998.0
347,,,,,15.0,1998.0
348,,,,,24.0,1998.0
349,,,,,25.0,1998.0
350,,,,,15.0,1998.0
351,,,,,50.0,1998.0
352,,,,,16.0,1998.0
353,,,,,50.0,1998.0
354,,,,,76.0,1998.0
